species,occurrences,AUC,J,cutoff
Marmota_vancouverensis,23,0.9905482041587903,0.9565217391304348,0.5363584054059957
Spilogale_putorius,808,0.9268415780315655,0.7017326732673268,0.46491770440250535
Lemmiscus_curtatus,809,0.9635092538973629,0.8368355995055623,0.48297027457079994
Castor_canadensis,11031,0.9251654510609748,0.6845254283383193,0.47192581386425064
Dicrostonyx_groenlandicus,314,0.9771948152054851,0.8757961783439492,0.5275198219399839
Peromyscus_keeni,1063,0.9793684605506878,0.876763875823142,0.566841588569586
Mustela_erminea,2586,0.9327205238032861,0.708430007733952,0.48313015643904145
Perognathus_parvus,694,0.9482970542069115,0.7795389048991355,0.6398441415843084
Urocitellus_columbianus,1140,0.9847972453062481,0.8859649122807016,0.6273778593614718
Microtus_pinetorum,1045,0.9722039330601406,0.843062200956938,0.6672141504029936
Tamias_townsendii,958,0.9941580842133707,0.9603340292275573,0.5952078638858977
Sorex_monticolus,3007,0.965280325289102,0.7991353508480212,0.5109833015465478
Bison_bison,1335,0.9637714093338383,0.8,0.5687841999080541
Sorex_vagrans,1603,0.9901679594054971,0.9120399251403617,0.5397891595449603
Mustela_nivalis,595,0.9648315796906998,0.8403361344537816,0.49438710906485284
Ochotona_princeps,1882,0.9900647218856193,0.9160467587672689,0.6248960134984753
Sorex_merriami,184,0.9825584829867675,0.8695652173913042,0.4574357252971321
Marmota_flaviventris,2366,0.9701132877786106,0.8182586644125105,0.5717810329450158
Corynorhinus_townsendii,1492,0.9539813320731121,0.762064343163539,0.5815652735574534
